hardware_name,unit_cost,default_qty
HFHB-0420-10-X,0.15904,1
HFHB-0420-12-X,0.11445,1
HFHB-0518-12,0.228,1
HFHB-0518-16,0.28,1
HFHB-0518-16X,0.2643,1
HFHB-0518-20-X,0.25864,1
HFHB-0518-24,0.3,1
HFHB-0518-8,0.193,1
HFHB-420-20,0.16063,1
HFHS-032-12,0.06239,1
KF2-M2.5,0.05,1
KFB3-632-6,0.12934,1
KFB3-632-8,0.12,1
KFS2-440,0.11,1
KFS2-632,0.15,1
KFSE-440-8,0.2,1
LAC-032-2,0.672,1
LAC-0420-2,0.93963,1
LAC-440-1,0.4417,1
LAC-440-1,0.42174,1
LAC-440-2,0.42174,1
LAC-440-2,0.4417,1
LAC-632-2,0.61052,1
LAC-832-1,0.57272,1
LAC-832-2,0.60552,1
LAC-M3-1,0.54,1
LAS-032-2,0.5397,1
LAS-440-1,0.42174,1
LAS-632-2,0.43078,1
LAS-832-2,0.44843,1
LK-032-2,0.15798,1
LKS-032-2,0.30105,1
LKS-632-1,0.232,1
MF-6000-08,0.8,1
MF6000-08,1.35,1
MPP-2MM-10,0.09,1
MPP-2MM-5,0.094,1
MPP-2MM-6,0.094,1
MS122078,0.12,1
MS20426AD3-5,0.0,1
MS51830-103L,1.96,1
MS51830-104L,2.62,1
N10-632-1-Z1,0.14597,1
PF-32-032-30,0.96,1
PF11-0420-0,1.45,1
PF11-440-0,0.724,1
PF11-M3-1,0.978,1
PF12-032-2,1.2,1
PF30-440-30,0.7584,1
PF31-440-30,0.88,1
PF31-832-30,0.91,1
PF31-M4-30,0.94,1
PF31-M4-30-CN,0.93732,1
PF32-032-30,0.88281,1
PF32-032-30BN,1.00929,1
PF32-632-30,0.75997,1
PF32-632-30,0.75997,1
PF32-632-30-BN,0.90232,1
PF32-632-30-CN,0.80232,1
PF32-632-30BN,1.16203,1
PF32-832-30,0.87254,1
PFC2-440-40,0.99089,1
PFC2-632-40,0.912,1
PFC2-832-94,1.1736,1
PFC2P-632-62,1.13113113113113,1
PFC2P-832-50,1.02,1
PFC2P-M4-50,1.555,1
PLC-440,0.17,1
PLC-632,0.2337,1
PLC-832,0.2355,1
PLC-832,0.2355,1
PLC-M4,0.197,1
PR10-632,0.16153,1
PR10-832,0.167,1
PR10-M5,0.23,1
PS10-632-40,0.2492,1
PS10-M5-40,0.301,1
PSA AORBC-80,0.6679,1
RAF 7301-B-440-B,1.55,1
RAS-440-9-4,0.285,1
RAS-632-10-10,0.29549,1
RAS632-10-10,0.2955,1
RAS632-10-10,0.4,1
RAS632-10-4,0.2901,1
RASM3-7-6,0.29577,1
RICHCO SR-3055B,0.10385,1
S-0420-1,0.09,1
S-0420-2,0.062,1
S-0420-3,0.096,1
S-0518-2,0.104,1
S-0616-1,0.16,1
S-0616-3,0.196,1
S-0813-2,0.414,1
S-256-1,0.072,1
S-256-2,0.06377,1
S-256-2,0.6977,1
S-440-0,0.025,1
S-440-1,0.0252,1
S-440-2,0.025,1
S-632-0,0.025,1
S-632-1,0.025,1
S-632-2,0.02815,1
S-632-3,0.046,1
S-632-3,0.046,1
S-832-0,0.04,1
S-832-1,0.02395,1
S-832-2,0.03126,1
S-M2.5-1,0.054,1
S-M3-0,0.034,1
S-M3-1,0.027,1
S-M3-2,0.05,1
S-M4-1,0.043,1
S-M4-2,0.03468,1
S-M5-2,0.0,1
S-M6-1,0.07668,1
S-M6-2,0.07895,1
S-M8-1,0.115,1
S-M8-2,0.122,1
S0-632-4,0.072,1
S0-632-8,0.073,1
S0-8169-4,0.14,1
S0-M4-6,0.105,1
S0S-440-10,0.12319,1
S0S-440-16,0.21482,1
SAC-632-2,0.08,1
SBSOS-632-22,0.34924,1
SK42BS,0.03,1
SKC-6060-10,0.17721,1
SKC-6060-16,0.204,1
SKC-6060-32,0.333,1
SL-832-2,0.054,1
SL-M3-1,0.06,1
SO-3.5M3-8,0.11,1
SO-440-10,0.1,1
SO-440-14,0.08381,1
SO-440-16,0.196,1
SO-440-20,0.165,1
SO-440-4,0.06857,1
SO-6143-12,0.12803,1
SO-632-10,0.08113,1
SO-632-12,0.11,1
SO-632-14,0.09926,1
SO-632-18,0.15778,1
SO-632-18,0.159,1
SO-632-26,0.19552,1
SO-632-4,0.08626,1
SO-632-6,0.07677,1
SO-632-6,0.097,1
SO-632-6,0.1,1
SO-632-8,0.08766,1
SO-6440-12,0.15,1
SO-6440-24,0.2,1
SO-8143-18,0.5,1
SO-832-12,0.122,1
SO-832-14,0.12,1
SO-8632-22,0.463,1
SO-M3-4,0.075,1
SO-M3-6,0.09,1
SO-M3-8,0.105,1
SO-M4-6,0.105,1
SO-M4-8,0.14,1
SO4-032-8,0.35,1
SO4-440-6,0.193,1
SOA-440-10,0.09747,1
SOA-440-11,0.11443,1
SOA-440-12,0.11443,1
SOA-440-6,0.085,1
SOA-632-6,0.108,1
SOAG-8632-8,0.175,1
SOS-032-10,0.25595,1
SOS-032-12,0.27814,1
SOS-032-28,0.42724,1
SOS-032-6,0.243,1
SOS-032-8,0.24322,1
SOS-3.5M3-14,0.0,1
SOS-3.5M3-8,0.0,1
SOS-4116-6,0.175,1
SOS-43.1-10,0.26,1
SOS-440-10,0.115,1
SOS-440-12,0.15,1
SOS-440-14,0.14577,1
SOS-440-16,0.21482,1
SOS-440-16,0.17902,1
SOS-440-16,0.21482,1
SOS-440-18,0.241,1
SOS-440-22,0.35221,1
SOS-440-24,0.33628,1
SOS-440-6,0.14028,1
SOS-440-8,0.1453,1
SOS-6116-24,0.34395,1
SOS-6116-24,1.0,1
SOS-6143-12,0.25802,1
SOS-632-10,0.217,1
SOS-632-12,0.21529,1
SOS-632-16,0.20791,1
SOS-632-18,0.294,1
SOS-632-20,0.2255,1
SOS-632-34,0.40319,1
SOS-632-6,0.141,1
SOS-632-6,0.141,1
SOS-632-6,0.141,1
SOS-632-8,0.194,1
SOS-6440-20,0.25,1
SOS-6440-4,0.159,1
SOS-6440-6,0.168,1
SOS-6440-8,0.175,1
SOS-8169-10,0.21,1
SOS-8169-18,0.305,1
SOS-832-18,0.33827,1
SOS-832-20,0.34807,1
SOS-832-24,0.45,1
SOS-832-4,0.235,1
SOS-832-8,0.28,1
SOS-8632-12,0.213,1
SOS-8632-18,0.33917,1
SOS-8632-28,0.49465,1
SOS-8632-8,0.206,1
SOS-M3-10,0.21,1
SOS-M3-4,0.124,1
SOS-M3-5,0.29,1
SOS-M3-8,0.16,1
SOS-M4-10,0.285,1
SOSG-3.5M3-10,0.278,1
SOSG-8632-8,0.21868,1
SP-032-0,0.325,1
SP-0420-1,0.46535,1
SP-440-1,0.177,1
SP-632-1,0.19,1
